Block Number,User Address,Amount Locked
20655304,0x00b32916575fcb38675309dbf122bb671fb60497,5630.543475558511
20655304,0x64f29301e87fabbdcf52989635ff9ddb8ae2e879,1453.1278289240536
20655304,0x84d5922ff253e7287b642091f5803df28a7e39aa,970.0
20655304,0x7ef021f62e3e7975fbc21d3202c5a1f19d53bb47,700.0
20655304,0xdfeb9c25186aadf1487979be7da312f95fd55275,384.47241375208654
20655304,0xf8db902be03bc5dffe27dd973bc4f0aa60ac2645,351.6998386367608
20655304,0x4d2c2d058bfa5871aa6847ce56647f76caa0d0be,325.64825322817876
20655304,0x35217c315324450379074a6d09b469bfc554b2c8,300.14890264999997
20655304,0x0bd0c087ae089038fc2b773399e460fca14f0266,287.8458386367608
20655304,0x0e7358d2144ec4c2209ff4fb19300c5930033a42,256.00283863676077
20655304,0xe3ec667c29e6eb6952a143a4b891462bea5cc001,250.0
20655304,0x4a0de283b1d52acb5822ebc1f4370781175cea20,222.65
20655304,0x10a63b7972f19d229f611df2f3fb981b6ebe3582,179.21106340719862
20655304,0x00670bf160f03492ab83030617e333f039d8e52e,159.38888763378597
20655304,0x701d7ec468a8ff9bd4b76be049e40cab79fb3310,150.0
20655304,0xe6f43a9dc80d833decf722df5d0a2c7e6013ef07,148.0
20655304,0xbc641f6c6957096857358cc70df3623715a2ae45,136.68548817142405
20655304,0xa2ae59055e4b0e73a7e3f1a208062de2aedee9be,130.26987736950872
20655304,0x08b09435f88fec81851b5192ef520cdf2e83a385,127.5742120351686
20655304,0x7822159ee394d14745cde63a706f965fb73c7ac8,115.75575939847867
20655304,0x4ffad6ac852c0af0aa301376f4c5dea3a928b120,111.0
20655304,0x13ca9574a9795ef6481cd62bf6c535d152438aba,109.88
20655304,0x2255b4e59ae2779ed352bd11f1b4982e27f838fd,101.0
20655304,0xc0a37b8c03373f751f2184652a8b8232cb2ee004,100.8260415942952
20655304,0x005d8431c17d7706c8262ccf4d558e4e05ec3778,100.50666666666667
20655304,0xf627e5f4bad95a956468d8bb6ee20b119f992e96,100.04117124283584
20655304,0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,95.74917735556842
20655304,0xf82ce7b9692a32c27fe5477b6c85f163f2920eea,95.0
20655304,0xf819ae20e48a140ed9bf01493a0b1174e853b937,94.89512894230721
20655304,0xd97beffdf558b269257feba5df111ab718b71e24,84.26608459604095
20655304,0xa6fbeaac65de6d6fc900d95932d9320aad9128f0,79.41736623867658
20655304,0xdd11b416c5c5b9f5394b7e7ef5ed30a1d065f474,68.2510015879343
20655304,0xdc7aa225964267c7e0efb35f4931426209e90312,65.50844100239829
20655304,0x3b5536b606236fd1ca64e28764b3b83e18eb66fd,65.37338389560958
20655304,0x95cebf9eb34c37334c3b882130d64d82f3428c99,63.0
20655304,0xb8f57ab602b15f8841fd3e76e43f45e393e69925,58.17683
20655304,0x0c59785411720c19e4d80e942be60ca7527ef664,56.81128741812347
20655304,0x25b70c8050b7e327ce62cfd80a0c60cccf057fa6,53.94846690431684
20655304,0x9f0a988edc96dac834c158ebfe667da932bd87c6,50.07090866537588
20655304,0xea7fe608e6a55e791c34afe178e3f34deeb17fc4,50.0
20655304,0x6e80aea2128f5a941e7bcd2a8cabe91f146987a1,50.0
20655304,0x2a1049062c6cfd69bd38fbaf3b0559df1dbbc92c,49.64810837093368
20655304,0xbfe24b4d8b1e421ca8794f6416946db505d6dbd7,46.74289269888407
20655304,0xd790a1516f78e3fb52338084b5c5931a75bb19cf,42.827126064200336
20655304,0xc3ca404e7c428c026eb42b6c0a7d074244b83bfb,41.8780569256735
20655304,0xe56f3bc1e241330c602e13e14a3053afd55b2fff,41.637714831646825
20655304,0x67228c5fa8203d8981b1e166e689ae3fd9cd4b4a,40.0
20655304,0x45f9675804904a6d8116354bd9ba74cdbdbc88ca,38.880052684267525
20655304,0xe5a3d77d7788a83f3549dd7f08fc2aced7e262d2,38.22187016775031
20655304,0xf9f12f065499fac55f031d11d1f1439e4bfa8525,38.0
20655304,0x58cd5ec80b84f438866caa806bc6a1be3c1a3b7c,36.753534960712365
20655304,0x01ceff54bf3f44ba8be84d1c1c6243ab37aecf8d,34.85328775127762
20655304,0xea9eedbde9c8f620d1df0afd48cf27cf73a8a3b0,33.35824617210393
20655304,0xc243c86e8311317d397becdc5225ec3d4b5f0212,32.0
20655304,0x4d5cd028b1396dc24f4b55da436da5c53f7e54b9,32.0
20655304,0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,30.236914864658583
20655304,0x5580ba66f8d6dc71adb0ca1d1c6b3d142ff7aaca,30.045631433916327
20655304,0xfcb11f4f6749dd517aaa9f38035fecc1fd91291d,30.0
